Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,954.3721096526648,954.3721096526648,954.3721096526648,954.3721096526648,954.3721096526648,2023-07-18,0,0,0,0,0,0
,956.323750603878,956.323750603878,956.323750603878,956.323750603878,956.323750603878,2023-07-19,0,0,0,0,0,0
,952.46920323191,952.46920323191,952.46920323191,952.46920323191,952.46920323191,2023-07-20,0,0,0,0,0,0
,971.2541449921898,971.2541449921898,971.2541449921898,971.2541449921898,971.2541449921898,2023-07-21,0,0,0,0,0,0
,980.6710221848502,980.6710221848502,980.6710221848502,980.6710221848502,980.6710221848502,2023-07-24,0,0,0,0,0,0
,974.8647427328618,974.8647427328618,974.8647427328618,974.8647427328618,974.8647427328618,2023-07-25,0,0,0,0,0,0
,969.1073019747432,969.1073019747432,969.1073019747432,969.1073019747432,969.1073019747432,2023-07-26,0,0,0,0,0,0
,978.3289995630472,978.3289995630472,978.3289995630472,978.3289995630472,978.3289995630472,2023-07-27,0,0,0,0,0,0
,964.130541221062,964.130541221062,964.130541221062,964.130541221062,964.130541221062,2023-07-28,0,0,0,0,0,0
,971.9372191996074,971.9372191996074,971.9372191996074,971.9372191996074,971.9372191996074,2023-07-31,0,0,0,0,0,0
,977.4507205075172,977.4507205075172,977.4507205075172,977.4507205075172,977.4507205075172,2023-08-01,0,0,0,0,0,0
,961.4469550572352,961.4469550572352,961.4469550572352,961.4469550572352,961.4469550572352,2023-08-02,0,0,0,0,0,0
,952.9571657495216,952.9571657495216,952.9571657495216,952.9571657495216,952.9571657495216,2023-08-03,0,0,0,0,0,0
,945.2480024411116,945.2480024411116,945.2480024411116,945.2480024411116,945.2480024411116,2023-08-04,0,0,0,0,0,0
,947.492394919989,947.492394919989,947.492394919989,947.492394919989,947.492394919989,2023-08-07,0,0,0,0,0,0
,952.1764948847944,952.1764948847944,952.1764948847944,952.1764948847944,952.1764948847944,2023-08-08,0,0,0,0,0,0
,959.2270199754856,959.2270199754856,959.2270199754856,959.2270199754856,959.2270199754856,2023-08-09,0,0,0,0,0,0
,955.8818683285078,955.8818683285078,955.8818683285078,955.8818683285078,955.8818683285078,2023-08-10,0,0,0,0,0,0
,947.8633070091408,947.8633070091408,947.8633070091408,947.8633070091408,947.8633070091408,2023-08-11,0,0,0,0,0,0
,933.6955296923588,933.6955296923588,933.6955296923588,933.6955296923588,933.6955296923588,2023-08-14,0,0,0,0,0,0
,939.0575962871804,939.0575962871804,939.0575962871804,939.0575962871804,939.0575962871804,2023-08-16,0,0,0,0,0,0
,941.5173104722998,941.5173104722998,941.5173104722998,941.5173104722998,941.5173104722998,2023-08-17,0,0,0,0,0,0
,932.61325789159,932.61325789159,932.61325789159,932.61325789159,932.61325789159,2023-08-18,0,0,0,0,0,0
,935.368103582327,935.368103582327,935.368103582327,935.368103582327,935.368103582327,2023-08-21,0,0,0,0,0,0
,940.9762212582668,940.9762212582668,940.9762212582668,940.9762212582668,940.9762212582668,2023-08-22,0,0,0,0,0,0
,938.6148847885248,938.6148847885248,938.6148847885248,938.6148847885248,938.6148847885248,2023-08-23,0,0,0,0,0,0
,956.8165287761592,956.8165287761592,956.8165287761592,956.8165287761592,956.8165287761592,2023-08-24,0,0,0,0,0,0
,947.420561047928,947.420561047928,947.420561047928,947.420561047928,947.420561047928,2023-08-25,0,0,0,0,0,0
,954.3077104234818,954.3077104234818,954.3077104234818,954.3077104234818,954.3077104234818,2023-08-28,0,0,0,0,0,0
,957.603610762986,957.603610762986,957.603610762986,957.603610762986,957.603610762986,2023-08-29,0,0,0,0,0,0
,954.7996350612804,954.7996350612804,954.7996350612804,954.7996350612804,954.7996350612804,2023-08-30,0,0,0,0,0,0
,944.518110332464,944.518110332464,944.518110332464,944.518110332464,944.518110332464,2023-08-31,0,0,0,0,0,0
,941.4681300358887,941.4681300358887,941.4681300358887,941.4681300358887,941.4681300358887,2023-09-01,0,0,0,0,0,0
,953.0778374045047,953.0778374045047,953.0778374045047,953.0778374045047,953.0778374045047,2023-09-04,0,0,0,0,0,0
,948.551951794262,948.551951794262,948.551951794262,948.551951794262,948.551951794262,2023-09-05,0,0,0,0,0,0
,947.027018710753,947.027018710753,947.027018710753,947.027018710753,947.027018710753,2023-09-06,0,0,0,0,0,0
,941.96007377633,941.96007377633,941.96007377633,941.96007377633,941.96007377633,2023-09-07,0,0,0,0,0,0
,951.8972093560284,951.8972093560284,951.8972093560284,951.8972093560284,951.8972093560284,2023-09-08,0,0,0,0,0,0
,959.2270468470958,959.2270468470958,959.2270468470958,959.2270468470958,959.2270468470958,2023-09-11,0,0,0,0,0,0
,974.1326718812546,974.1326718812546,974.1326718812546,974.1326718812546,974.1326718812546,2023-09-12,0,0,0,0,0,0
,973.8375244140624,973.8375244140624,973.8375244140624,973.8375244140624,973.8375244140624,2023-09-13,0,0,0,0,0,0
,976.2972153487822,976.2972153487822,976.2972153487822,976.2972153487822,976.2972153487822,2023-09-14,0,0,0,0,0,0
,974.3786547753372,974.3786547753372,974.3786547753372,974.3786547753372,974.3786547753372,2023-09-15,0,0,0,0,0,0
