Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2096.4462595414525,2096.4462595414525,2096.4462595414525,2096.4462595414525,2096.4462595414525,2023-03-08,0,0,0,0,0,0
,2118.8034009633097,2118.8034009633097,2118.8034009633097,2118.8034009633097,2118.8034009633097,2023-03-09,0,0,0,0,0,0
,2115.44279420593,2115.44279420593,2115.44279420593,2115.44279420593,2115.44279420593,2023-03-10,0,0,0,0,0,0
,2108.184986327957,2108.184986327957,2108.184986327957,2108.184986327957,2108.184986327957,2023-03-13,0,0,0,0,0,0
,2088.993926718764,2088.993926718764,2088.993926718764,2088.993926718764,2088.993926718764,2023-03-14,0,0,0,0,0,0
,2108.330918189092,2108.330918189092,2108.330918189092,2108.330918189092,2108.330918189092,2023-03-15,0,0,0,0,0,0
,2128.496870584189,2128.496870584189,2128.496870584189,2128.496870584189,2128.496870584189,2023-03-16,0,0,0,0,0,0
,2130.2502288341416,2130.2502288341416,2130.2502288341416,2130.2502288341416,2130.2502288341416,2023-03-17,0,0,0,0,0,0
,2134.536924709958,2134.536924709958,2134.536924709958,2134.536924709958,2134.536924709958,2023-03-20,0,0,0,0,0,0
,2126.353699354564,2126.353699354564,2126.353699354564,2126.353699354564,2126.353699354564,2023-03-21,0,0,0,0,0,0
,2162.203404669808,2162.203404669808,2162.203404669808,2162.203404669808,2162.203404669808,2023-03-22,0,0,0,0,0,0
,2156.845657844862,2156.845657844862,2156.845657844862,2156.845657844862,2156.845657844862,2023-03-23,0,0,0,0,0,0
,2149.052079729052,2149.052079729052,2149.052079729052,2149.052079729052,2149.052079729052,2023-03-24,0,0,0,0,0,0
,2118.9009269442454,2118.9009269442454,2118.9009269442454,2118.9009269442454,2118.9009269442454,2023-03-27,0,0,0,0,0,0
,2111.7893152665924,2111.7893152665924,2111.7893152665924,2111.7893152665924,2111.7893152665924,2023-03-28,0,0,0,0,0,0
,2082.4666106630298,2082.4666106630298,2082.4666106630298,2082.4666106630298,2082.4666106630298,2023-03-29,0,0,0,0,0,0
,2100.82987802106,2100.82987802106,2100.82987802106,2100.82987802106,2100.82987802106,2023-03-31,0,0,0,0,0,0
,2123.723258604463,2123.723258604463,2123.723258604463,2123.723258604463,2123.723258604463,2023-04-03,0,0,0,0,0,0
,2113.981569991557,2113.981569991557,2113.981569991557,2113.981569991557,2113.981569991557,2023-04-05,0,0,0,0,0,0
,2199.465987993123,2199.465987993123,2199.465987993123,2199.465987993123,2199.465987993123,2023-04-06,0,0,0,0,0,0
,2225.9153581516643,2225.9153581516643,2225.9153581516643,2225.9153581516643,2225.9153581516643,2023-04-10,0,0,0,0,0,0
,2260.1093376602216,2260.1093376602216,2260.1093376602216,2260.1093376602216,2260.1093376602216,2023-04-11,0,0,0,0,0,0
,2244.5222307188114,2244.5222307188114,2244.5222307188114,2244.5222307188114,2244.5222307188114,2023-04-12,0,0,0,0,0,0
,2235.5598474777003,2235.5598474777003,2235.5598474777003,2235.5598474777003,2235.5598474777003,2023-04-13,0,0,0,0,0,0
,2200.440484161514,2200.440484161514,2200.440484161514,2200.440484161514,2200.440484161514,2023-04-17,0,0,0,0,0,0
,2162.6907961213296,2162.6907961213296,2162.6907961213296,2162.6907961213296,2162.6907961213296,2023-04-18,0,0,0,0,0,0
,2151.0981412623933,2151.0981412623933,2151.0981412623933,2151.0981412623933,2151.0981412623933,2023-04-19,0,0,0,0,0,0
,2167.561395175512,2167.561395175512,2167.561395175512,2167.561395175512,2167.561395175512,2023-04-20,0,0,0,0,0,0
,2182.3202706756306,2182.3202706756306,2182.3202706756306,2182.3202706756306,2182.3202706756306,2023-04-21,0,0,0,0,0,0
,2162.690688525007,2162.690688525007,2162.690688525007,2162.690688525007,2162.690688525007,2023-04-24,0,0,0,0,0,0
