Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1024.8349561252708,1024.8349561252708,1024.8349561252708,1024.8349561252708,1024.8349561252708,2023-03-28,0,0,0,0,0,0
,1022.0959186617868,1022.0959186617868,1022.0959186617868,1022.0959186617868,1022.0959186617868,2023-03-29,0,0,0,0,0,0
,1029.3999027039445,1029.3999027039445,1029.3999027039445,1029.3999027039445,1029.3999027039445,2023-03-31,0,0,0,0,0,0
,1070.4846960590223,1070.4846960590223,1070.4846960590223,1070.4846960590223,1070.4846960590223,2023-04-03,0,0,0,0,0,0
,1071.8541464339423,1071.8541464339423,1071.8541464339423,1071.8541464339423,1071.8541464339423,2023-04-05,0,0,0,0,0,0
,1058.2275373074351,1058.2275373074351,1058.2275373074351,1058.2275373074351,1058.2275373074351,2023-04-06,0,0,0,0,0,0
,1072.7671126043012,1072.7671126043012,1072.7671126043012,1072.7671126043012,1072.7671126043012,2023-04-10,0,0,0,0,0,0
,1065.4631729553812,1065.4631729553812,1065.4631729553812,1065.4631729553812,1065.4631729553812,2023-04-11,0,0,0,0,0,0
,1066.5359087914262,1066.5359087914262,1066.5359087914262,1066.5359087914262,1066.5359087914262,2023-04-12,0,0,0,0,0,0
,1074.1365320735108,1074.1365320735108,1074.1365320735108,1074.1365320735108,1074.1365320735108,2023-04-13,0,0,0,0,0,0
,1106.9814803229494,1106.9814803229494,1106.9814803229494,1106.9814803229494,1106.9814803229494,2023-04-17,0,0,0,0,0,0
,1085.0925121063174,1085.0925121063174,1085.0925121063174,1085.0925121063174,1085.0925121063174,2023-04-18,0,0,0,0,0,0
,1067.768405195298,1067.768405195298,1067.768405195298,1067.768405195298,1067.768405195298,2023-04-19,0,0,0,0,0,0
,1074.638679040759,1074.638679040759,1074.638679040759,1074.638679040759,1074.638679040759,2023-04-20,0,0,0,0,0,0
,1073.0638883289137,1073.0638883289137,1073.0638883289137,1073.0638883289137,1073.0638883289137,2023-04-21,0,0,0,0,0,0
,1084.1794719407253,1084.1794719407253,1084.1794719407253,1084.1794719407253,1084.1794719407253,2023-04-24,0,0,0,0,0,0
,1080.0709122812248,1080.0709122812248,1080.0709122812248,1080.0709122812248,1080.0709122812248,2023-04-25,0,0,0,0,0,0
,1086.005534613959,1086.005534613959,1086.005534613959,1086.005534613959,1086.005534613959,2023-04-26,0,0,0,0,0,0
,1084.1794457664448,1084.1794457664448,1084.1794457664448,1084.1794457664448,1084.1794457664448,2023-04-27,0,0,0,0,0,0
,1087.3748753991613,1087.3748753991613,1087.3748753991613,1087.3748753991613,1087.3748753991613,2023-04-28,0,0,0,0,0,0
,1112.1170391794085,1112.1170391794085,1112.1170391794085,1112.1170391794085,1112.1170391794085,2023-05-02,0,0,0,0,0,0
,1116.1340858641377,1116.1340858641377,1116.1340858641377,1116.1340858641377,1116.1340858641377,2023-05-03,0,0,0,0,0,0
,1105.246884028871,1105.246884028871,1105.246884028871,1105.246884028871,1105.246884028871,2023-05-04,0,0,0,0,0,0
,1114.30819519152,1114.30819519152,1114.30819519152,1114.30819519152,1114.30819519152,2023-05-05,0,0,0,0,0,0
,1118.4165791288924,1118.4165791288924,1118.4165791288924,1118.4165791288924,1118.4165791288924,2023-05-08,0,0,0,0,0,0
,1129.8290394334551,1129.8290394334551,1129.8290394334551,1129.8290394334551,1129.8290394334551,2023-05-09,0,0,0,0,0,0
,1136.6766978121202,1136.6766978121202,1136.6766978121202,1136.6766978121202,1136.6766978121202,2023-05-10,0,0,0,0,0,0
,1140.762158669685,1140.762158669685,1140.762158669685,1140.762158669685,1140.762158669685,2023-05-11,0,0,0,0,0,0
,1127.4553650769165,1127.4553650769165,1127.4553650769165,1127.4553650769165,1127.4553650769165,2023-05-12,0,0,0,0,0,0
,1136.6309023578756,1136.6309023578756,1136.6309023578756,1136.6309023578756,1136.6309023578756,2023-05-15,0,0,0,0,0,0
,1138.5026071786638,1138.5026071786638,1138.5026071786638,1138.5026071786638,1138.5026071786638,2023-05-16,0,0,0,0,0,0
,1124.35127409302,1124.35127409302,1124.35127409302,1124.35127409302,1124.35127409302,2023-05-17,0,0,0,0,0,0
,1118.2112689036005,1118.2112689036005,1118.2112689036005,1118.2112689036005,1118.2112689036005,2023-05-18,0,0,0,0,0,0
,1111.1357155261294,1111.1357155261294,1111.1357155261294,1111.1357155261294,1111.1357155261294,2023-05-19,0,0,0,0,0,0
,1111.5693019532655,1111.5693019532655,1111.5693019532655,1111.5693019532655,1111.5693019532655,2023-05-22,0,0,0,0,0,0
,1123.2783175836105,1123.2783175836105,1123.2783175836105,1123.2783175836105,1123.2783175836105,2023-05-23,0,0,0,0,0,0
,1116.544972955841,1116.544972955841,1116.544972955841,1116.544972955841,1116.544972955841,2023-05-24,0,0,0,0,0,0
,1111.0671339157268,1111.0671339157268,1111.0671339157268,1111.0671339157268,1111.0671339157268,2023-05-25,0,0,0,0,0,0
,1122.0687058844728,1122.0687058844728,1122.0687058844728,1122.0687058844728,1122.0687058844728,2023-05-26,0,0,0,0,0,0
,1150.8279550929285,1150.8279550929285,1150.8279550929285,1150.8279550929285,1150.8279550929285,2023-05-29,0,0,0,0,0,0
,1150.645307987406,1150.645307987406,1150.645307987406,1150.645307987406,1150.645307987406,2023-05-30,0,0,0,0,0,0
,1141.241614387353,1141.241614387353,1141.241614387353,1141.241614387353,1141.241614387353,2023-05-31,0,0,0,0,0,0
,1132.1799698648445,1132.1799698648445,1132.1799698648445,1132.1799698648445,1132.1799698648445,2023-06-01,0,0,0,0,0,0
,1128.003101699598,1128.003101699598,1128.003101699598,1128.003101699598,1128.003101699598,2023-06-02,0,0,0,0,0,0
,1126.268543700321,1126.268543700321,1126.268543700321,1126.268543700321,1126.268543700321,2023-06-05,0,0,0,0,0,0
