Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,870.6933834135348,870.6933834135348,870.6933834135348,870.6933834135348,870.6933834135348,2023-01-31,0,0,0,0,0,0
,873.9846395179304,873.9846395179304,873.9846395179304,873.9846395179304,873.9846395179304,2023-02-01,0,0,0,0,0,0
,848.7016937743082,848.7016937743082,848.7016937743082,848.7016937743082,848.7016937743082,2023-02-02,0,0,0,0,0,0
,870.693394455164,870.693394455164,870.693394455164,870.693394455164,870.693394455164,2023-02-03,0,0,0,0,0,0
,869.5464186317218,869.5464186317218,869.5464186317218,869.5464186317218,869.5464186317218,2023-02-06,0,0,0,0,0,0
,884.506744665385,884.506744665385,884.506744665385,884.506744665385,884.506744665385,2023-02-07,0,0,0,0,0,0
,879.7693458320437,879.7693458320437,879.7693458320437,879.7693458320437,879.7693458320437,2023-02-08,0,0,0,0,0,0
,873.8350955880709,873.8350955880709,873.8350955880709,873.8350955880709,873.8350955880709,2023-02-09,0,0,0,0,0,0
,869.7459237952077,869.7459237952077,869.7459237952077,869.7459237952077,869.7459237952077,2023-02-10,0,0,0,0,0,0
,864.9585687010346,864.9585687010346,864.9585687010346,864.9585687010346,864.9585687010346,2023-02-13,0,0,0,0,0,0
,860.2709943420871,860.2709943420871,860.2709943420871,860.2709943420871,860.2709943420871,2023-02-14,0,0,0,0,0,0
,869.6960345142812,869.6960345142812,869.6960345142812,869.6960345142812,869.6960345142812,2023-02-15,0,0,0,0,0,0
,870.4938669607202,870.4938669607202,870.4938669607202,870.4938669607202,870.4938669607202,2023-02-16,0,0,0,0,0,0
,858.725155250901,858.725155250901,858.725155250901,858.725155250901,858.725155250901,2023-02-17,0,0,0,0,0,0
,857.4285526319146,857.4285526319146,857.4285526319146,857.4285526319146,857.4285526319146,2023-02-20,0,0,0,0,0,0
,846.7568188104417,846.7568188104417,846.7568188104417,846.7568188104417,846.7568188104417,2023-02-21,0,0,0,0,0,0
,837.7805863154392,837.7805863154392,837.7805863154392,837.7805863154392,837.7805863154392,2023-02-22,0,0,0,0,0,0
,830.8488877972475,830.8488877972475,830.8488877972475,830.8488877972475,830.8488877972475,2023-02-23,0,0,0,0,0,0
,847.8538987685147,847.8538987685147,847.8538987685147,847.8538987685147,847.8538987685147,2023-02-24,0,0,0,0,0,0
,849.5992567522266,849.5992567522266,849.5992567522266,849.5992567522266,849.5992567522266,2023-02-27,0,0,0,0,0,0
,853.6884782219203,853.6884782219203,853.6884782219203,853.6884782219203,853.6884782219203,2023-02-28,0,0,0,0,0,0
,843.814565001129,843.814565001129,843.814565001129,843.814565001129,843.814565001129,2023-03-01,0,0,0,0,0,0
,863.7118776816358,863.7118776816358,863.7118776816358,863.7118776816358,863.7118776816358,2023-03-02,0,0,0,0,0,0
,847.5047937811358,847.5047937811358,847.5047937811358,847.5047937811358,847.5047937811358,2023-03-03,0,0,0,0,0,0
,854.6858146198489,854.6858146198489,854.6858146198489,854.6858146198489,854.6858146198489,2023-03-06,0,0,0,0,0,0
,856.2316930866406,856.2316930866406,856.2316930866406,856.2316930866406,856.2316930866406,2023-03-08,0,0,0,0,0,0
,860.2210959531328,860.2210959531328,860.2210959531328,860.2210959531328,860.2210959531328,2023-03-09,0,0,0,0,0,0
,857.3288381927395,857.3288381927395,857.3288381927395,857.3288381927395,857.3288381927395,2023-03-10,0,0,0,0,0,0
,843.365747946297,843.365747946297,843.365747946297,843.365747946297,843.365747946297,2023-03-13,0,0,0,0,0,0
