Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,3707.449148548149,3707.449148548149,3707.449148548149,3707.449148548149,3707.449148548149,2024-01-30,0,0,0,0,0,0
,3711.10034274536,3711.10034274536,3711.10034274536,3711.10034274536,3711.10034274536,2024-01-31,0,0,0,0,0,0
,3719.669151010243,3719.669151010243,3719.669151010243,3719.669151010243,3719.669151010243,2024-02-01,0,0,0,0,0,0
,3773.273355013097,3773.273355013097,3773.273355013097,3773.273355013097,3773.273355013097,2024-02-02,0,0,0,0,0,0
,3878.388546300602,3878.388546300602,3878.388546300602,3878.388546300602,3878.388546300602,2024-02-05,0,0,0,0,0,0
,3892.0204078187335,3892.0204078187335,3892.0204078187335,3892.0204078187335,3892.0204078187335,2024-02-06,0,0,0,0,0,0
,4043.9232034402817,4043.9232034402817,4043.9232034402817,4043.9232034402817,4043.9232034402817,2024-02-07,0,0,0,0,0,0
,3982.577947418793,3982.577947418793,3982.577947418793,3982.577947418793,3982.577947418793,2024-02-08,0,0,0,0,0,0
,4027.905136727231,4027.905136727231,4027.905136727231,4027.905136727231,4027.905136727231,2024-02-09,0,0,0,0,0,0
,4021.527473476732,4021.527473476732,4021.527473476732,4021.527473476732,4021.527473476732,2024-02-12,0,0,0,0,0,0
,4017.097232709837,4017.097232709837,4017.097232709837,4017.097232709837,4017.097232709837,2024-02-13,0,0,0,0,0,0
,3999.131032254953,3999.131032254953,3999.131032254953,3999.131032254953,3999.131032254953,2024-02-14,0,0,0,0,0,0
,4019.5798449047847,4019.5798449047847,4019.5798449047847,4019.5798449047847,4019.5798449047847,2024-02-15,0,0,0,0,0,0
,4005.217297984756,4005.217297984756,4005.217297984756,4005.217297984756,4005.217297984756,2024-02-16,0,0,0,0,0,0
,4014.759788418847,4014.759788418847,4014.759788418847,4014.759788418847,4014.759788418847,2024-02-19,0,0,0,0,0,0
,3974.885251960021,3974.885251960021,3974.885251960021,3974.885251960021,3974.885251960021,2024-02-20,0,0,0,0,0,0
,3907.6003511857225,3907.6003511857225,3907.6003511857225,3907.6003511857225,3907.6003511857225,2024-02-21,0,0,0,0,0,0
,3866.7033724629737,3866.7033724629737,3866.7033724629737,3866.7033724629737,3866.7033724629737,2024-02-22,0,0,0,0,0,0
,4021.5274818311927,4021.5274818311927,4021.5274818311927,4021.5274818311927,4021.5274818311927,2024-02-23,0,0,0,0,0,0
,3929.995870102703,3929.995870102703,3929.995870102703,3929.995870102703,3929.995870102703,2024-02-26,0,0,0,0,0,0
,3893.9677521300446,3893.9677521300446,3893.9677521300446,3893.9677521300446,3893.9677521300446,2024-02-27,0,0,0,0,0,0
,3988.030761658436,3988.030761658436,3988.030761658436,3988.030761658436,3988.030761658436,2024-02-28,0,0,0,0,0,0
,3991.3414182941815,3991.3414182941815,3991.3414182941815,3991.3414182941815,3991.3414182941815,2024-02-29,0,0,0,0,0,0
,3999.3263159688886,3999.3263159688886,3999.3263159688886,3999.3263159688886,3999.3263159688886,2024-03-01,0,0,0,0,0,0
,3997.184035858106,3997.184035858106,3997.184035858106,3997.184035858106,3997.184035858106,2024-03-04,0,0,0,0,0,0
,3955.313178116832,3955.313178116832,3955.313178116832,3955.313178116832,3955.313178116832,2024-03-05,0,0,0,0,0,0
,3889.148304084413,3889.148304084413,3889.148304084413,3889.148304084413,3889.148304084413,2024-03-06,0,0,0,0,0,0
,3958.2342520506186,3958.2342520506186,3958.2342520506186,3958.2342520506186,3958.2342520506186,2024-03-07,0,0,0,0,0,0
,3981.6041972630856,3981.6041972630856,3981.6041972630856,3981.6041972630856,3981.6041972630856,2024-03-11,0,0,0,0,0,0
,4014.078082822845,4014.078082822845,4014.078082822845,4014.078082822845,4014.078082822845,2024-03-12,0,0,0,0,0,0
,4094.557752115061,4094.557752115061,4094.557752115061,4094.557752115061,4094.557752115061,2024-03-13,0,0,0,0,0,0
,4044.36119419038,4044.36119419038,4044.36119419038,4044.36119419038,4044.36119419038,2024-03-14,0,0,0,0,0,0
,4082.48315202997,4082.48315202997,4082.48315202997,4082.48315202997,4082.48315202997,2024-03-15,0,0,0,0,0,0
,4104.538423942185,4104.538423942185,4104.538423942185,4104.538423942185,4104.538423942185,2024-03-18,0,0,0,0,0,0
