Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,170.2015380859375,170.2015380859375,170.2015380859375,170.2015380859375,170.2015380859375,2025-03-25,0,0,0,0,0,0
,164.7130889892578,164.7130889892578,164.7130889892578,164.7130889892578,164.7130889892578,2025-03-26,0,0,0,0,0,0
,161.89903259277344,161.89903259277344,161.89903259277344,161.89903259277344,161.89903259277344,2025-03-27,0,0,0,0,0,0
,154.0056610107422,154.0056610107422,154.0056610107422,154.0056610107422,154.0056610107422,2025-03-28,0,0,0,0,0,0
,154.31500244140625,154.31500244140625,154.31500244140625,154.31500244140625,154.31500244140625,2025-03-31,0,0,0,0,0,0
,156.73989868164062,156.73989868164062,156.73989868164062,156.73989868164062,156.73989868164062,2025-04-01,0,0,0,0,0,0
,156.70994567871094,156.70994567871094,156.70994567871094,156.70994567871094,156.70994567871094,2025-04-02,0,0,0,0,0,0
,150.4032440185547,150.4032440185547,150.4032440185547,150.4032440185547,150.4032440185547,2025-04-03,0,0,0,0,0,0
,145.29400634765625,145.29400634765625,145.29400634765625,145.29400634765625,145.29400634765625,2025-04-04,0,0,0,0,0,0
,146.4415740966797,146.4415740966797,146.4415740966797,146.4415740966797,146.4415740966797,2025-04-07,0,0,0,0,0,0
,144.39588928222656,144.39588928222656,144.39588928222656,144.39588928222656,144.39588928222656,2025-04-08,0,0,0,0,0,0
,158.37644958496094,158.37644958496094,158.37644958496094,158.37644958496094,158.37644958496094,2025-04-09,0,0,0,0,0,0
,152.4988250732422,152.4988250732422,152.4988250732422,152.4988250732422,152.4988250732422,2025-04-10,0,0,0,0,0,0
,156.80975341796875,156.80975341796875,156.80975341796875,156.80975341796875,156.80975341796875,2025-04-11,0,0,0,0,0,0
,158.73570251464844,158.73570251464844,158.73570251464844,158.73570251464844,158.73570251464844,2025-04-14,0,0,0,0,0,0
,155.9814910888672,155.9814910888672,155.9814910888672,155.9814910888672,155.9814910888672,2025-04-15,0,0,0,0,0,0
,153.00775146484375,153.00775146484375,153.00775146484375,153.00775146484375,153.00775146484375,2025-04-16,0,0,0,0,0,0
,150.84231567382812,150.84231567382812,150.84231567382812,150.84231567382812,150.84231567382812,2025-04-17,0,0,0,0,0,0
,147.35964965820312,147.35964965820312,147.35964965820312,147.35964965820312,147.35964965820312,2025-04-21,0,0,0,0,0,0
,151.1516571044922,151.1516571044922,151.1516571044922,151.1516571044922,151.1516571044922,2025-04-22,0,0,0,0,0,0
,155.0235137939453,155.0235137939453,155.0235137939453,155.0235137939453,155.0235137939453,2025-04-23,0,0,0,0,0,0
,158.9452362060547,158.9452362060547,158.9452362060547,158.9452362060547,158.9452362060547,2025-04-24,0,0,0,0,0,0
,161.61962890625,161.61962890625,161.61962890625,161.61962890625,161.61962890625,2025-04-25,0,0,0,0,0,0
,160.2724609375,160.2724609375,160.2724609375,160.2724609375,160.2724609375,2025-04-28,0,0,0,0,0,0
,159.8234100341797,159.8234100341797,159.8234100341797,159.8234100341797,159.8234100341797,2025-04-29,0,0,0,0,0,0
,158.4662628173828,158.4662628173828,158.4662628173828,158.4662628173828,158.4662628173828,2025-04-30,0,0,0,0,0,0
,160.96099853515625,160.96099853515625,160.96099853515625,160.96099853515625,160.96099853515625,2025-05-01,0,0,0,0,0,0
,163.68527221679688,163.68527221679688,163.68527221679688,163.68527221679688,163.68527221679688,2025-05-02,0,0,0,0,0,0
,163.86489868164062,163.86489868164062,163.86489868164062,163.86489868164062,163.86489868164062,2025-05-05,0,0,0,0,0,0
,162.88693237304688,162.88693237304688,162.88693237304688,162.88693237304688,162.88693237304688,2025-05-06,0,0,0,0,0,0
,151.06185913085938,151.06185913085938,151.06185913085938,151.06185913085938,151.06185913085938,2025-05-07,0,0,0,0,0,0
,153.9557647705078,153.9557647705078,153.9557647705078,153.9557647705078,153.9557647705078,2025-05-08,0,0,0,0,0,0
,152.42897033691406,152.42897033691406,152.42897033691406,152.42897033691406,152.42897033691406,2025-05-09,0,0,0,0,0,0
,158.12696838378906,158.12696838378906,158.12696838378906,158.12696838378906,158.12696838378906,2025-05-12,0,0,0,0,0,0
,159.19471740722656,159.19471740722656,159.19471740722656,159.19471740722656,159.19471740722656,2025-05-13,0,0,0,0,0,0
,165.02244567871094,165.02244567871094,165.02244567871094,165.02244567871094,165.02244567871094,2025-05-14,0,0,0,0,0,0
,163.61541748046875,163.61541748046875,163.61541748046875,163.61541748046875,163.61541748046875,2025-05-15,0,0,0,0,0,0
,165.84072875976562,165.84072875976562,165.84072875976562,165.84072875976562,165.84072875976562,2025-05-16,0,0,0,0,0,0
,166.1899871826172,166.1899871826172,166.1899871826172,166.1899871826172,166.1899871826172,2025-05-19,0,0,0,0,0,0
,163.6353759765625,163.6353759765625,163.6353759765625,163.6353759765625,163.6353759765625,2025-05-20,0,0,0,0,0,0
,168.20574951171875,168.20574951171875,168.20574951171875,168.20574951171875,168.20574951171875,2025-05-21,0,0,0,0,0,0
,170.51089477539062,170.51089477539062,170.51089477539062,170.51089477539062,170.51089477539062,2025-05-22,0,0,0,0,0,0
,168.11593627929688,168.11593627929688,168.11593627929688,168.11593627929688,168.11593627929688,2025-05-23,0,0,0,0,0,0
,172.53662109375,172.53662109375,172.53662109375,172.53662109375,172.53662109375,2025-05-27,0,0,0,0,0,0
,171.9977569580078,171.9977569580078,171.9977569580078,171.9977569580078,171.9977569580078,2025-05-28,0,0,0,0,0,0
,171.49880981445312,171.49880981445312,171.49880981445312,171.49880981445312,171.49880981445312,2025-05-29,0,0,0,0,0,0
,171.3790740966797,171.3790740966797,171.3790740966797,171.3790740966797,171.3790740966797,2025-05-30,0,0,0,0,0,0
,168.6747589111328,168.6747589111328,168.6747589111328,168.6747589111328,168.6747589111328,2025-06-02,0,0,0,0,0,0
,165.83074951171875,165.83074951171875,165.83074951171875,165.83074951171875,165.83074951171875,2025-06-03,0,0,0,0,0,0
,167.69680786132812,167.69680786132812,167.69680786132812,167.69680786132812,167.69680786132812,2025-06-04,0,0,0,0,0,0
,167.8564910888672,167.8564910888672,167.8564910888672,167.8564910888672,167.8564910888672,2025-06-05,0,0,0,0,0,0
,173.31497192382812,173.31497192382812,173.31497192382812,173.31497192382812,173.31497192382812,2025-06-06,0,0,0,0,0,0
,175.93264770507812,175.93264770507812,175.93264770507812,175.93264770507812,175.93264770507812,2025-06-09,0,0,0,0,0,0
,178.44041442871094,178.44041442871094,178.44041442871094,178.44041442871094,178.44041442871094,2025-06-10,0,0,0,0,0,0
,177.1915283203125,177.1915283203125,177.1915283203125,177.1915283203125,177.1915283203125,2025-06-11,0,0,0,0,0,0
,175.54299926757812,175.54299926757812,175.54299926757812,175.54299926757812,175.54299926757812,2025-06-12,0,0,0,0,0,0
,174.513916015625,174.513916015625,174.513916015625,174.513916015625,174.513916015625,2025-06-13,0,0,0,0,0,0
,176.61204528808594,176.61204528808594,176.61204528808594,176.61204528808594,176.61204528808594,2025-06-16,0,0,0,0,0,0
,175.7927703857422,175.7927703857422,175.7927703857422,175.7927703857422,175.7927703857422,2025-06-17,0,0,0,0,0,0
,173.16513061523438,173.16513061523438,173.16513061523438,173.16513061523438,173.16513061523438,2025-06-18,0,0,0,0,0,0
,166.4910888671875,166.4910888671875,166.4910888671875,166.4910888671875,166.4910888671875,2025-06-20,0,0,0,0,0,0
,165.04238891601562,165.04238891601562,165.04238891601562,165.04238891601562,165.04238891601562,2025-06-23,0,0,0,0,0,0
,166.62098693847656,166.62098693847656,166.62098693847656,166.62098693847656,166.62098693847656,2025-06-24,0,0,0,0,0,0
,170.52748107910156,170.52748107910156,170.52748107910156,170.52748107910156,170.52748107910156,2025-06-25,0,0,0,0,0,0
,173.38491821289062,173.38491821289062,173.38491821289062,173.38491821289062,173.38491821289062,2025-06-26,0,0,0,0,0,0
,178.37046813964844,178.37046813964844,178.37046813964844,178.37046813964844,178.37046813964844,2025-06-27,0,0,0,0,0,0
,176.07252502441406,176.07252502441406,176.07252502441406,176.07252502441406,176.07252502441406,2025-06-30,0,0,0,0,0,0
,175.682861328125,175.682861328125,175.682861328125,175.682861328125,175.682861328125,2025-07-01,0,0,0,0,0,0
,178.48036193847656,178.48036193847656,178.48036193847656,178.48036193847656,178.48036193847656,2025-07-02,0,0,0,0,0,0
