Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,415.6196899414063,415.6196899414063,415.6196899414063,415.6196899414063,415.6196899414063,2024-10-15,0,0,0,0,0,0
,413.0192260742188,413.0192260742188,413.0192260742188,413.0192260742188,413.0192260742188,2024-10-16,0,0,0,0,0,0
,413.6147766113281,413.6147766113281,413.6147766113281,413.6147766113281,413.6147766113281,2024-10-17,0,0,0,0,0,0
,415.0440368652344,415.0440368652344,415.0440368652344,415.0440368652344,415.0440368652344,2024-10-18,0,0,0,0,0,0
,415.659423828125,415.659423828125,415.659423828125,415.659423828125,415.659423828125,2024-10-21,0,0,0,0,0,0
,424.3243713378906,424.3243713378906,424.3243713378906,424.3243713378906,424.3243713378906,2024-10-22,0,0,0,0,0,0
,421.4360656738281,421.4360656738281,421.4360656738281,421.4360656738281,421.4360656738281,2024-10-23,0,0,0,0,0,0
,421.5650939941406,421.5650939941406,421.5650939941406,421.5650939941406,421.5650939941406,2024-10-24,0,0,0,0,0,0
,424.9595947265625,424.9595947265625,424.9595947265625,424.9595947265625,424.9595947265625,2024-10-25,0,0,0,0,0,0
,423.4112243652344,423.4112243652344,423.4112243652344,423.4112243652344,423.4112243652344,2024-10-28,0,0,0,0,0,0
,428.7312927246094,428.7312927246094,428.7312927246094,428.7312927246094,428.7312927246094,2024-10-29,0,0,0,0,0,0
,429.3069763183594,429.3069763183594,429.3069763183594,429.3069763183594,429.3069763183594,2024-10-30,0,0,0,0,0,0
,403.3220520019531,403.3220520019531,403.3220520019531,403.3220520019531,403.3220520019531,2024-10-31,0,0,0,0,0,0
,407.3121032714844,407.3121032714844,407.3121032714844,407.3121032714844,407.3121032714844,2024-11-01,0,0,0,0,0,0
,405.4163208007813,405.4163208007813,405.4163208007813,405.4163208007813,405.4163208007813,2024-11-04,0,0,0,0,0,0
,408.3939514160156,408.3939514160156,408.3939514160156,408.3939514160156,408.3939514160156,2024-11-05,0,0,0,0,0,0
,417.0489807128906,417.0489807128906,417.0489807128906,417.0489807128906,417.0489807128906,2024-11-06,0,0,0,0,0,0
,422.2598571777344,422.2598571777344,422.2598571777344,422.2598571777344,422.2598571777344,2024-11-07,0,0,0,0,0,0
,419.3913879394531,419.3913879394531,419.3913879394531,419.3913879394531,419.3913879394531,2024-11-08,0,0,0,0,0,0
,414.8951721191406,414.8951721191406,414.8951721191406,414.8951721191406,414.8951721191406,2024-11-11,0,0,0,0,0,0
,419.8777465820313,419.8777465820313,419.8777465820313,419.8777465820313,419.8777465820313,2024-11-12,0,0,0,0,0,0
,422.0315856933594,422.0315856933594,422.0315856933594,422.0315856933594,422.0315856933594,2024-11-13,0,0,0,0,0,0
,423.7090148925781,423.7090148925781,423.7090148925781,423.7090148925781,423.7090148925781,2024-11-14,0,0,0,0,0,0
,411.9075927734375,411.9075927734375,411.9075927734375,411.9075927734375,411.9075927734375,2024-11-15,0,0,0,0,0,0
,412.6619262695313,412.6619262695313,412.6619262695313,412.6619262695313,412.6619262695313,2024-11-18,0,0,0,0,0,0
,414.67681884765625,414.67681884765625,414.67681884765625,414.67681884765625,414.67681884765625,2024-11-19,0,0,0,0,0,0
,412.3939208984375,412.3939208984375,412.3939208984375,412.3939208984375,412.3939208984375,2024-11-20,0,0,0,0,0,0
,410.61370849609375,410.61370849609375,410.61370849609375,410.61370849609375,410.61370849609375,2024-11-21,0,0,0,0,0,0
,414.7211608886719,414.7211608886719,414.7211608886719,414.7211608886719,414.7211608886719,2024-11-22,0,0,0,0,0,0
,416.5013732910156,416.5013732910156,416.5013732910156,416.5013732910156,416.5013732910156,2024-11-25,0,0,0,0,0,0
,425.6510925292969,425.6510925292969,425.6510925292969,425.6510925292969,425.6510925292969,2024-11-26,0,0,0,0,0,0
,420.6784057617188,420.6784057617188,420.6784057617188,420.6784057617188,420.6784057617188,2024-11-27,0,0,0,0,0,0
,421.1458435058594,421.1458435058594,421.1458435058594,421.1458435058594,421.1458435058594,2024-11-29,0,0,0,0,0,0
,428.624755859375,428.624755859375,428.624755859375,428.624755859375,428.624755859375,2024-12-02,0,0,0,0,0,0
,428.8435363769531,428.8435363769531,428.8435363769531,428.8435363769531,428.8435363769531,2024-12-03,0,0,0,0,0,0
,435.0295715332031,435.0295715332031,435.0295715332031,435.0295715332031,435.0295715332031,2024-12-04,0,0,0,0,0,0
,440.2011413574219,440.2011413574219,440.2011413574219,440.2011413574219,440.2011413574219,2024-12-05,0,0,0,0,0,0
,441.1459655761719,441.1459655761719,441.1459655761719,441.1459655761719,441.1459655761719,2024-12-06,0,0,0,0,0,0
,443.5825500488281,443.5825500488281,443.5825500488281,443.5825500488281,443.5825500488281,2024-12-09,0,0,0,0,0,0
,440.9072570800781,440.9072570800781,440.9072570800781,440.9072570800781,440.9072570800781,2024-12-10,0,0,0,0,0,0
,446.5363464355469,446.5363464355469,446.5363464355469,446.5363464355469,446.5363464355469,2024-12-11,0,0,0,0,0,0
,447.1032409667969,447.1032409667969,447.1032409667969,447.1032409667969,447.1032409667969,2024-12-12,0,0,0,0,0,0
,444.8257141113281,444.8257141113281,444.8257141113281,444.8257141113281,444.8257141113281,2024-12-13,0,0,0,0,0,0
,449.12213134765625,449.12213134765625,449.12213134765625,449.12213134765625,449.12213134765625,2024-12-16,0,0,0,0,0,0
