Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2025-03-19,1564.536865234375,1580.7585753901394,1550.9776447654951,1580.7585753901394,7387068
2025-03-20,1593.134521484375,1609.2576434825316,1569.9112262370732,1569.9112262370732,7186750
2025-03-21,1570.45361328125,1581.6461093555213,1541.9545731422113,1556.0560901796125,10074677
2025-03-24,1570.6507568359375,1584.8016279799526,1550.8789003823247,1575.7785592177397,8857726
2025-03-25,1605.8553466796875,1613.4485820609123,1582.7307615847424,1582.7307615847424,9890140
2025-03-26,1577.2578125,1615.0264536438078,1572.8696037624018,1603.4394832085677,6651302
2025-03-27,1581.301025390625,1597.4733814773153,1563.9944809345598,1573.4120242257595,9426573
2025-03-28,1548.857421875,1576.271627596916,1538.355165420368,1567.938918601529,6799047
2025-04-01,1505.3199462890625,1525.9299846961485,1496.7899402056196,1517.8930411565277,12680733
2025-04-02,1528.641845703125,1534.065533745542,1513.8992032527772,1513.8992032527772,6193478
2025-04-03,1475.7362060546875,1513.3569025396205,1464.4451218569632,1513.3569025396205,10459504
2025-04-04,1431.508544921875,1451.5761669039568,1427.9091641826965,1440.2357281000195,9590254
2025-04-07,1377.3702392578125,1386.3933080363427,1288.8655111580174,1333.241140845937,21715252
2025-04-08,1408.9755859375,1436.2912029581203,1395.3670114560523,1411.1450129990183,12805001
2025-04-09,1384.2237548828125,1389.8939742084822,1362.7262999262337,1385.5551200692491,8546854
2025-04-11,1389.89404296875,1418.8369123902967,1377.6661874236538,1391.669116387415,12567440
2025-04-15,1406.21435546875,1427.6132214230709,1389.4502292114087,1425.5423828430714,10178530
2025-04-16,1393.493408203125,1407.6936342633087,1377.4196406823328,1405.2283214187144,12022740
2025-04-17,1399.8045654296875,1409.9617020085943,1359.1762598672565,1378.6028759920416,14264227
2025-04-21,1430.8675537109375,1451.379004423389,1390.4364236612141,1390.4364236612141,15648970
2025-04-22,1403.058837890625,1420.0201414292796,1399.6074000468734,1420.0201414292796,9399738
2025-04-23,1454.4359130859375,1467.1569507677636,1419.6256494074153,1425.9368740316995,11136642
2025-04-24,1450.9844970703125,1462.324935726995,1441.22183449924,1449.505309419441,7114292
2025-04-25,1459.662353515625,1480.864043581714,1443.194112173071,1455.0276136053067,8329979
2025-04-28,1461.5360107421875,1468.9319491141807,1444.9691810148831,1459.6623489459623,5886253
2025-04-29,1476.722412109375,1488.8517996048886,1453.6470595242981,1461.4374722845366,8056743
2025-04-30,1479.2862548828125,1487.8656155741658,1462.0290654409305,1476.0321142425894,7704183
2025-05-02,1485.991943359375,1502.065710329334,1475.4403325201433,1478.8917703842976,7402310
2025-05-05,1487.6683349609375,1501.8685607929344,1481.9488814793483,1493.979559817003,4282493
2025-05-06,1490.528076171875,1494.571164972708,1478.3001009589232,1485.1043881672801,4270530
2025-05-07,1487.37255859375,1497.72687229769,1475.8348225262564,1479.1876719914237,5691799
2025-05-08,1490.4295654296875,1495.4587795844232,1480.371016743612,1487.0767158676624,8424409
2025-05-09,1486.6822509765625,1490.429574694462,1473.3695614613061,1479.8779633712215,4478653
2025-05-12,1604.3270263671875,1609.356240543565,1510.743725804376,1515.6743515413355,11372857
2025-05-13,1546.8358154296875,1589.8308459268644,1542.8913150101926,1586.675293741908,12846210
2025-05-14,1570.3056640625,1572.8695652973822,1547.7233747550104,1552.1609377918994,4870057
2025-05-15,1590.6197509765625,1596.1420273386075,1549.2024976963296,1567.7416973152629,11151167
2025-05-16,1567.84033203125,1590.2253238143162,1559.5568570553514,1590.2253238143162,4576751
2025-05-19,1538.157958984375,1563.0082630282545,1534.1147498260523,1554.62619978804,8855798
2025-05-20,1538.94677734375,1561.529065774123,1536.382876208452,1548.2163771805324,7143998
2025-05-21,1546.7371826171875,1549.2024953086398,1530.564707285941,1546.145531646558,4157309
2025-05-22,1526.028564453125,1539.1440761948634,1518.6326263378432,1533.9175651094254,6158990
2025-05-23,1543.088623046875,1565.1777292492216,1528.4939232420525,1528.4939232420525,5038421
2025-05-26,1558.5706787109375,1561.8249396042181,1541.0176042515016,1544.8635161135799,3170102
