Price,Open,High,Low,Close,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-04-24,3022.9598579372287,3051.5958600147746,2999.024268289194,3045.696044921875,1640676
2023-04-25,3053.5620218656522,3061.42851871755,3019.5056436764503,3046.8466796875,2024090
2023-04-26,3051.64369490967,3077.9293721270374,3051.64369490967,3068.09619140625,2000029
2023-04-27,3055.4808006957965,3069.103305617769,3041.714255051595,3058.310791015625,2434446
2023-04-28,3070.25482527173,3096.0130568688965,3066.273679763641,3088.33837890625,2931312
2023-05-02,3103.4474027619726,3103.4474027619726,3079.4640379801954,3088.481689453125,2321159
2023-05-03,3085.2199621186237,3085.2199621186237,3044.112382308986,3050.587890625,2468285
2023-05-04,3050.8279377176764,3093.3265087779573,3048.7654619429204,3089.72900390625,1953253
2023-05-05,3089.058162176573,3112.0821981679514,3079.5128274310023,3099.322998046875,1710027
2023-05-08,3113.0416934733657,3122.4912357503117,3099.898852426649,3118.4140625,928235
2023-05-09,3120.3325650982997,3163.8862727420906,3114.000861528449,3149.736083984375,1107375
2023-05-10,3156.2111816374877,3172.0402042809583,3133.2351622793285,3153.141357421875,1559987
2023-05-11,3174.438897486895,3175.110385013743,3138.943509391695,3148.6806640625,1719623
2023-05-12,3145.8022909752476,3156.2111661657173,3127.4311251368504,3141.149658203125,1027479
2023-05-15,3150.4555576014886,3158.1302361827343,3116.2553648588523,3122.682861328125,1150390
2023-05-16,3123.7855941829725,3151.4144803048725,3118.2694196740676,3125.65625,986306
2023-05-17,3123.545850910899,3146.6178978888497,3068.19228412287,3078.21728515625,1588815
2023-05-18,3094.7652983015287,3097.6433020013483,3065.0739403075677,3069.726806640625,1369364
2023-05-19,3079.4644473658177,3102.9681479765536,3072.797117912635,3091.7919921875,1152449
2023-05-22,3098.6511250622157,3173.91088650488,3086.227787363073,3164.557373046875,1333243
2023-05-23,3171.560608341515,3192.6179587624883,3156.307279863017,3162.974609375,1687418
2023-05-24,3142.780413349906,3182.304955344394,3142.780413349906,3169.018310546875,1016555
2023-05-25,3160.0487591859437,3171.5607765235977,3134.242747339074,3159.569091796875,1374917
2023-05-26,3159.5689410344157,3202.88281051553,3157.1706042035107,3193.529296875,1791115
2023-05-29,3224.131696998823,3234.876197431294,3177.316122743904,3185.32666015625,1210372
2023-05-30,3180.194792373348,3191.6587961398372,3167.0999663250827,3181.345947265625,1344224
2023-05-31,3174.43896283986,3192.378477376941,3132.372036721899,3155.73193359375,5815424
2023-06-01,3179.2355094753593,3204.1782141363005,3163.406485363608,3188.828857421875,1177314
2023-06-02,3190.987170597393,3200.2446571292,3163.35828331498,3171.177001953125,2030661
2023-06-05,3180.1947368389797,3191.706753985908,3151.4627075522885,3155.156005859375,1861468
2023-06-06,3146.617142141535,3155.1073461033593,3089.632766849957,3100.85693359375,2022849
2023-06-07,3120.7157615295673,3145.514657069972,3109.203745194383,3141.72509765625,1567196
2023-06-08,3128.390581857246,3137.0245945026663,3101.5292091826054,3104.8388671875,1759366
2023-06-09,3113.0409246108093,3117.837597838253,3075.0033996022066,3078.792724609375,1775689
2023-06-12,3084.2610860329364,3122.0587798408137,3080.423747201169,3114.86376953125,2324605
2023-06-13,3127.4311478944874,3132.2278214342027,3107.2851190276824,3111.7939453125,1371928
2023-06-14,3111.793767318042,3123.4498238803694,3094.6697842882936,3118.844970703125,1658544
2023-06-15,3136.483178898009,3138.5609937182076,3102.3667620188758,3108.45556640625,2273810
2023-06-16,3089.8026716362706,3092.1221038143703,3050.1774262383706,3068.443603515625,4156189
2023-06-19,3083.0372930443496,3107.102285996996,3068.540252481445,3102.753173828125,1468186
2023-06-20,3106.2325613269354,3124.1122447073176,3093.7168301515553,3119.47314453125,1528452
2023-06-21,3141.0254378469826,3152.0430942318103,3115.848863685045,3148.950439453125,1645987
2023-06-22,3150.69022478578,3158.083621268915,3121.7928842837855,3129.9111328125,1529603
2023-06-23,3128.7516384410424,3140.4457773657346,3101.545381496393,3108.504150390625,1119505
2023-06-26,3097.5343740274448,3106.135857158569,3066.607353756344,3082.698974609375,1978803
2023-06-27,3094.634857234224,3102.0282533764494,3075.595458239128,3090.140869140625,863542
2023-06-28,3100.4336396774515,3122.6140638177994,3086.323092945527,3107.6337890625,1575872
2023-06-30,3112.0313328033917,3199.0135750246045,3106.3292579728854,3191.5234375,2672406
2023-07-03,3203.1695958653577,3207.518708187427,3159.1468672810756,3162.577880859375,1687264
2023-07-04,3179.684301319629,3203.846036132088,3167.410187225788,3197.90234375,1656681
2023-07-05,3208.6784976153644,3217.3767224582975,3194.1814562104755,3208.630126953125,1453008
2023-07-06,3195.679567433131,3216.8451537437045,3191.2820842993083,3211.481201171875,1848238
2023-07-07,3191.281631473164,3244.3407017091663,3191.281631473164,3217.617919921875,1789326
2023-07-10,3213.268885316097,3213.268885316097,3155.7155898747956,3162.2392578125,1407431
2023-07-11,3184.516864683391,3184.516864683391,3151.463656404731,3162.674560546875,1110172
2023-07-12,3170.937488223699,3178.8624895067005,3141.122051086669,3150.59326171875,1515240
2023-07-13,3173.885656490919,3254.537484462686,3163.0128752377145,3228.53955078125,4585146
2023-07-14,3252.1694652669635,3406.6596901161756,3239.60536332091,3396.801513671875,6306101
2023-07-17,3392.3075306304995,3430.86956458837,3360.4624116862665,3374.62109375,2743228
2023-07-18,3359.447894024044,3405.8384288091866,3348.816729802449,3379.598876953125,2600090
2023-07-19,3382.642731380588,3398.9278343405786,3330.115027727234,3353.697021484375,2405370
2023-07-20,3345.993866330876,3370.9934278250535,3329.4726659062862,3355.87744140625,1715404
2023-07-21,3298.4651008157175,3328.358070580248,3254.860886010531,3263.823974609375,3770223
2023-07-24,3276.130102806954,3307.57354021269,3267.506252472614,3289.45361328125,1680132
2023-07-25,3292.118314386395,3301.1298996908126,3275.354868444718,3293.717041015625,1272980
2023-07-26,3294.880145302078,3314.744289004589,3280.0061674634762,3283.203857421875,1066803
2023-07-27,3289.647396497541,3305.8293584364,3280.054563484066,3291.536865234375,1701769
2023-07-28,3280.00619919588,3288.4363007546544,3227.6811372293873,3251.32421875,2599831
2023-07-31,3260.044935309803,3320.3641016139222,3256.6534962404953,3315.325439453125,2743678
2023-08-01,3309.0754669316248,3352.679682454882,3309.0754669316248,3344.976318359375,1956167
2023-08-02,3328.406534325866,3339.50133711482,3307.7188990012046,3333.9296875,1914899
2023-08-03,3313.9205806036753,3326.7596003969497,3263.5334840564847,3294.492431640625,2026351
2023-08-04,3295.7522211794712,3363.338760665621,3295.7522211794712,3336.740234375,2248493
2023-08-07,3346.817415728949,3379.8113206886096,3334.5113839792657,3375.98388671875,1853889
2023-08-08,3375.9834506124294,3381.700352606828,3349.3849288984434,3362.95068359375,1634225
2023-08-09,3357.427758564071,3359.4627166770083,3318.813943406649,3355.102294921875,1794589
2023-08-10,3342.989828526343,3357.4275740281378,3323.658673788031,3335.3349609375,1096701
2023-08-11,3331.4590822095734,3359.1233454421417,3308.106507549579,3341.8271484375,1679974
2023-08-14,3333.9783938069554,3347.8348923392136,3305.199657820277,3342.8447265625,1190425
2023-08-16,3342.990278707455,3358.494001739142,3328.649287589537,3351.129638671875,1328445
2023-08-17,3347.8352903665727,3353.455437444039,3307.331765444477,3329.182373046875,1843241
2023-08-18,3304.230388230785,3304.230388230785,3252.389823488748,3262.6611328125,2526749
2023-08-21,3270.316356134051,3303.988502319431,3267.4094082619317,3296.1396484375,1375579
2023-08-22,3294.541064120094,3305.199873445188,3260.675167259878,3277.24462890625,1222012
2023-08-23,3282.9128995048004,3296.478655287878,3271.285108833591,3292.844970703125,1330046
2023-08-24,3302.2925510571176,3307.1859602788286,3273.3200672580856,3282.670654296875,1152881
2023-08-25,3270.3165044561997,3280.7815645840665,3246.334183423521,3276.421142578125,1158046
2023-08-28,3288.727047450962,3288.727047450962,3255.878630908877,3270.849365234375,1037485
2023-08-29,3276.1788209663905,3284.4151734533543,3260.6266021921065,3271.4306640625,944517
2023-08-30,3292.602858985793,3302.389677825994,3278.116616498973,3285.771484375,1188200
2023-08-31,3295.5093980102333,3311.4006159756195,3239.9381584327634,3252.680419921875,3417652
2023-09-01,3261.595220010862,3283.8818183650656,3252.680627982781,3274.3857421875,1277950
2023-09-04,3273.2237279405717,3326.372526379972,3265.5203623953525,3312.467529296875,1828332
2023-09-05,3313.9208740495396,3340.0834072657203,3299.5313861534223,3322.98095703125,1501842
2023-09-06,3327.485862279315,3337.078694278958,3292.699485603125,3323.512939453125,1314818
2023-09-07,3324.3858134541274,3352.680060290952,3316.1494607048576,3348.077392578125,1885092
2023-09-08,3348.077370694272,3357.5249517272705,3328.503968072845,3335.141357421875,1518917
2023-09-11,3354.6180208633923,3377.5828629473767,3338.1453153883267,3372.689453125,1783604
2023-09-12,3383.6872087373,3478.5505097960563,3374.966365415812,3469.73291015625,4476016
2023-09-13,3460.334008040141,3477.5334499384576,3435.0434664525874,3457.184814453125,1754929
2023-09-14,3459.31653542409,3486.108810902691,3435.6249570925925,3449.626708984375,2604721
2023-09-15,3457.184712278759,3495.4595255128456,3451.952064224932,3486.690185546875,2952897
2023-09-18,3469.0060836799707,3507.0386494059744,3464.3549200482844,3494.29638671875,1395753
2023-09-20,3468.957420935858,3512.5616343275096,3468.957420935858,3494.199462890625,1649396
2023-09-21,3477.2426994387893,3493.1824165502185,3418.5707532840975,3474.093505859375,2004073
2023-09-22,3472.8338529390844,3521.0407402671312,3454.4716788483393,3491.874267578125,1989083
2023-09-25,3490.759848685566,3507.717044341915,3448.269866656592,3466.196044921875,1238778
2023-09-26,3456.9425134298713,3483.4440463276746,3426.322567800822,3474.48095703125,1726062
2023-09-27,3478.6472345886446,3501.9028149870087,3445.411086955716,3477.968994140625,1541134
2023-09-28,3488.3372192425954,3491.0504177267194,3417.9407308203613,3427.049072265625,1755753
2023-09-29,3427.485208034955,3457.765914308178,3396.8170033486426,3419.152099609375,2243791
2023-10-03,3424.5782731996,3424.5782731996,3372.156456241717,3404.859619140625,1948148
2023-10-04,3378.163960793104,3437.9501376890325,3369.443117715539,3428.01806640625,1788138
2023-10-05,3443.764192410028,3511.592975040501,3441.050993791205,3478.017822265625,2990768
2023-10-06,3479.616267880264,3522.2030027926003,3464.1610438285925,3509.0732421875,2075691
2023-10-09,3531.9906723635186,3564.887589898248,3518.376417211345,3525.49853515625,4233074
2023-10-10,3527.1453630044166,3534.8487278032107,3489.645781544453,3516.341064453125,1848148
2023-10-11,3536.7869661811897,3536.7869661811897,3493.1827433104627,3497.9306640625,2426417
2023-10-12,3464.1128723522656,3477.3393905104017,3428.35750824107,3432.66943359375,4241281
2023-10-13,3420.508278225612,3466.0504564342814,3415.6633656502213,3460.09130859375,2890357
2023-10-16,3455.391689596092,3463.7732938233526,3409.9465037291648,3414.742919921875,1671104
2023-10-17,3420.508611385952,3424.529794587994,3394.6853194711102,3398.2705078125,1672065
2023-10-18,3402.0978087306885,3413.4348575042836,3375.935279298695,3379.08447265625,1408245
2023-10-19,3370.583890830107,3377.724435795141,3353.4855753272413,3357.128662109375,1514545
2023-10-20,3352.028743503988,3399.7289937100018,3345.859924786205,3394.920166015625,1481211
2023-10-23,3373.9842574878794,3379.764574673807,3304.328482504707,3312.926025390625,1106272
2023-10-25,3293.836010795162,3327.3524073067188,3280.9151496314953,3293.447509765625,1518537
2023-10-26,3272.0263311031777,3277.5151537064353,3235.0610960679364,3241.61865234375,1984471
2023-10-27,3254.4909504512443,3266.1488284827115,3241.8615825838215,3255.413818359375,1108851
2023-10-30,3254.4909683759292,3286.404504534894,3238.7042584547025,3282.22705078125,910972
2023-10-31,3302.0938655931122,3302.0938655931122,3254.5394868094313,3272.706298828125,999811
2023-11-01,3259.3482541340773,3275.475079563095,3216.602703260188,3235.6923828125,1563475
2023-11-02,3247.884658554033,3279.7009495689813,3247.884658554033,3264.302978515625,1245384
2023-11-03,3285.578909903954,3291.310605560701,3248.9537873508134,3255.365478515625,1402598
2023-11-06,3278.778096485328,3295.584917571486,3263.234259583472,3283.87841796875,1099852
2023-11-07,3281.6929506308525,3307.0973171735313,3270.035071587759,3274.358154296875,1191144
2023-11-08,3275.32970246197,3304.960145556748,3273.4839664527203,3285.141845703125,992899
2023-11-09,3293.4478565522354,3294.807847478932,3246.7677215232948,3252.013671875,2112352
2023-11-10,3242.833168116945,3252.0136999016195,3227.6294466076274,3238.412841796875,1338557
2023-11-13,3260.320018666236,3260.320018666236,3232.146812307082,3236.567138671875,1030990
2023-11-15,3286.6476253068085,3315.695078884393,3260.3687756780373,3307.2431640625,2059802
2023-11-16,3332.2589151668635,3428.7279078269194,3316.860705674454,3398.1259765625,3951984
2023-11-17,3398.125771545085,3424.0158804505913,3392.976828048231,3402.594482421875,2021292
2023-11-20,3391.7140265430435,3433.1479748452243,3391.7140265430435,3419.255859375,1475621
